paymentId,txnid,phone_number,service_provider
1,3551711186542790,6054974962,UCash
2,3560657978568775,8944341554,UCash
3,3549550501458844,6149601453,M-cash
4,67069928820262458,7463145884,M-cash
5,3576532076539519,2617045019,Ali pay
6,4913006886430342,5412953543,iPay
7,3537645256130509,7909910364,iPay
8,560221374467745449,9413484013,Ali pay
9,5335653183537183,3765703045,T-cash
10,3584290037999658,1941831247,Sure Cash
11,3579855857978185,3253900920,Ali pay
12,6334187031321459791,8348968919,UCash
13,5010125956867073,6129014442,iPay
14,3556277414464467,4813690469,UCash
15,3580128260571006,9547418692,M-cash
16,3550107681764644,1155207518,iPay
17,4017954607821627,4916052535,M-cash
18,3587096140238588,3831536671,M-cash
19,3570598025166148,9792626027,UCash
20,3561325313239267,1828785255,M-cash
21,6771131075418403055,5059663056,Nagad
22,5306756329342890,3984961552,M-cash
23,6377202074312954,4569615241,Ali pay
24,3551983600137685,2367192057,Rocket
25,3545608048660167,8483425482,Ali pay
26,201539784299517,6748635191,Nagad
27,56100483603063057,8664064340,iPay
28,564182055681721378,6145823889,iPay
29,3574163267812267,6748373666,Ali pay
30,3584075622226314,8176782841,T-cash
31,677104814790120871,8872975684,bKash
32,5602254105871168,3131717020,M-cash
33,5100145715265816,9301206402,Sure Cash
34,374283412084303,7798356069,Sure Cash
35,5458156627275429,4746175695,Nagad
36,4704736840128300,9279524466,M-cash
37,5020023282143491,9662931319,bKash
38,67098769908973979,3255973409,bKash
39,3552771134580754,8078006180,UCash
40,6759723039564510,4693643295,bKash
41,6377786917743672,5692648184,Ali pay
42,3550459331438214,2123896388,Ali pay
43,4026701743810744,9704834440,UCash
44,337941631150215,7309288425,UCash
45,67095683505532364,7956159268,iPay
46,3580319216004156,4246743746,bKash
47,67060735319192776,8267124098,T-cash
48,5100140010063776,8812165100,UCash
49,5450099389826575,6651458811,iPay
50,342369304125517,7285830109,Ali pay
51,3577854543388042,1071290143,Ali pay
52,5100177379642303,4208056176,bKash
53,5585912135086104,2651851032,M-cash
54,633110154460782527,4357114362,T-cash
55,5100174827164741,8874261585,UCash
56,4905285034369103,2208992492,UCash
57,4913851891074605,4277768006,T-cash
58,67595195163467192,2677604960,bKash
59,5100138671913289,3017964993,Sure Cash
60,3549586224657858,7907450099,Ali pay
61,3553622282050943,6765629071,Nagad
62,337941249427476,5886544731,Sure Cash
63,3569488136077371,3517639778,iPay
64,4017959866112,6735013241,iPay
65,3545902940976767,4339876813,UCash
66,4508851759323343,5384430564,Ali pay
67,67060985674968423,2574885342,iPay
68,3576994722977289,1021888280,T-cash
69,30238177948353,3897225959,Sure Cash
70,3535190552691914,9768480992,T-cash
71,5100146102300067,5344428486,Sure Cash
72,3528643767331105,2334219338,iPay
73,3589339035543904,5742614218,UCash
74,3573507480541726,8391473559,iPay
75,490599387263246895,9465359239,iPay
76,3554273997478513,6284043121,Rocket
77,337941329905078,7183921773,Nagad
78,3535460962304378,8778913343,Rocket
79,3589064640910021,1889178412,M-cash
80,374283969204825,5444380487,UCash
81,060432509634871125,1593890979,iPay
82,3541510264055664,5385672309,Nagad
83,3542122576018858,6083429748,Nagad
84,3553787708888620,9153834788,M-cash
85,3560679044020953,4976803333,iPay
86,4936823908234572238,3809721762,UCash
87,4041370297525,5643368891,UCash
88,3576539323208178,6505832241,M-cash
89,3544627573608269,6917433420,M-cash
90,5602225810147235,4196690401,UCash
91,6304279969972280,8485482224,Ali pay
92,6304605241733332,1887305836,T-cash
93,493612093577980032,6502463146,M-cash
94,5602238056715797,8109034812,Rocket
95,3575046866823042,2949245184,Ali pay
96,4913408371668750,9701661388,M-cash
97,6370523756182853,9709576435,T-cash
